record_id,store_name,date,item_name,department,price,on_sale,sale_amount,final_price
78,SHOPRITE,03/27/25,Toilet Paper,Household,17.99,1,-6,11.99
79,SHOPRITE,03/27/25,Sunkist Soda,Beverages,3.39,1,-0.78,2.61
80,SHOPRITE,03/27/25,Cream Soda,Beverages,3.39,0,0,3.39
81,SHOPRITE,03/27/25,Hamburger Buns,Bread,3.49,1,-1.25,2.24
82,SHOPRITE,03/27/25,Hamburger Buns,Bread,3.49,1,-1.25,2.24
83,SHOPRITE,03/27/25,Potato Bread,Bread,2.99,1,-1.3,1.69
84,SHOPRITE,03/27/25,Spicy Chicken Patties,Meat,3.99,0,0,3.99
85,SHOPRITE,03/27/25,Regular Chicken Patties,Meat,3.99,0,0,3.99
86,SHOPRITE,03/27/25,Mexican Blend Cheese,Dairy,1.99,1,-0.72,1.27
87,SHOPRITE,03/27/25,Fatboy Ice Cream Bars,Snacks,6.29,1,-3.49,2.8
88,SHOPRITE,03/27/25,Fatboy Ice Cream Bars,Snacks,6.29,1,-3.49,2.8
89,SHOPRITE,03/16/25,Canada Dry Soda,Beverages,1.99,0,0,1.99
90,SHOPRITE,03/16/25,Cat Treats,Household,6.79,0,0,6.79
91,SHOPRITE,03/16/25,Oatmeal Cookies,Snacks,3,1,-1.19,1.81
92,SHOPRITE,03/16/25,Oatmeal Cookies,Snacks,3,1,-1.19,1.81
93,SHOPRITE,03/16/25,Butterfinger,Snacks,1.19,0,0,1.19
94,SHOPRITE,03/16/25,Doritos,Snacks,3.99,1,-3.41,0.58
95,SHOPRITE,03/16/25,Italian Bread,Bread,2.99,1,-2.3,0.69
96,SHOPRITE,03/16/25,Hamburger Buns,Bread,2.79,0,0,2.79
97,SHOPRITE,03/16/25,Hamburger Buns,Bread,2.79,0,0,2.79
98,SHOPRITE,03/16/25,Ground Turkey,Meat,9.99,0,0,9.99
99,SHOPRITE,03/16/25,Chicken Wing Sections,Meat,11.99,0,0,11.99
100,SHOPRITE,03/16/25,Cabbage,Produce,1.31,1,-0.57,0.74
101,SHOPRITE,03/16/25,Cream Cheese,Dairy,1.89,1,-1,0.89
102,SHOPRITE,03/16/25,Bacon,Meat,4.19,1,-2.5,1.69
103,SHOPRITE,03/16/25,Fruit Punch,Beverages,2.99,1,-1,1.99
104,SHOPRITE,03/16/25,Half Gallon Milk,Dairy,2.31,0,0,2.31
105,SHOPRITE,03/16/25,Pizza,Frozen,5.49,1,-0.5,4.99
106,SHOPRITE,03/16/25,Pizza,Frozen,5.49,1,-0.5,4.99
107,SHOPRITE,03/16/25,Pizza Bagel,Frozen,1.69,1,-1.3,0.39
108,SHOPRITE,03/16/25,Pizza Bagel,Frozen,1.69,1,-1.3,0.39
109,SHOPRITE,03/16/25,French Fries,Frozen,4.29,1,-0.7,3.59
110,SHOPRITE,03/16/25,Eggnog Ice Cream,Snacks,4.68,1,-2,2.68
111,WALMART,4/18/2025,Ammonia,Household,1.98,0,0,1.98
112,WALMART,4/18/2025,Mango Green Tea,Beverages,1.97,0,0,1.97
113,WALMART,4/18/2025,Iced Tea,Beverages,2.48,0,0,2.48
114,WALMART,4/18/2025,Whole Milk,Dairy,4.72,0,0,4.72
115,WALMART,4/18/2025,Beverage,Beverages,1.26,0,0,1.26
116,WALMART,4/18/2025,Vegetable Oil,Pantry,3.97,0,0,3.97
117,WALMART,4/18/2025,Bar Keepers Friend,Household,2.72,0,0,2.72
118,WALMART,4/18/2025,Margarine,Dairy,3.58,0,0,3.58
119,WALMART,4/18/2025,Beverage,Beverages,1.26,0,0,1.26
120,WALMART,4/18/2025,Colombian Coffee,Household,4.44,0,0,4.44
121,WALMART,4/18/2025,Chips Ahoy,Snacks,3.46,0,0,3.46
122,WALMART,4/18/2025,Can Opener,Household,5.97,0,0,5.97
123,WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48
124,WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48
125,WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48
126,WALMART,4/18/2025,Cream Cheese,Dairy,2.98,0,0,2.98
127,WALMART,4/18/2025,Baking Soda,Baking,0.92,0,0,0.92
128,WALMART,4/18/2025,Baking Soda,Baking,0.92,0,0,0.92
129,WALMART,4/18/2025,Jello Pudding,Baking,1.48,0,0,1.48
130,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
131,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
132,WALMART,4/18/2025,Evaporated Milk,Dairy,1.34,0,0,1.34
133,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
134,WALMART,4/18/2025,Poppi Soda,Beverages,1,0,0,1
