store_name,date,item_name,department,price,on_sale,sale_amount,final_price
SHOPRITE,03/18/25,Sugar,Baking,2.99,0,0.00,2.99
SHOPRITE,03/18/25,Oreos,Snacks,5.29,1,-3.58,1.71
SHOPRITE,03/18/25,Oreos,Snacks,5.29,0,0.00,5.29
SHOPRITE,03/18/25,Sweet Tarts,Snacks,1.79,0,0.00,1.79
SHOPRITE,03/18/25,Perdue Thin Sliced Chicken Breasts,Meat,3.79,1,-1.43,2.36
SHOPRITE,03/18/25,Perdue Thin Sliced Chicken Breasts,Meat,4.75,1,-1.78,2.97
SHOPRITE,03/18/25,Perdue Ground Turkey,Meat,10.98,0,0.00,10.98
SHOPRITE,03/18/25,Margarine Sticks,Dairy,2.19,0,0.00,2.19
SHOPRITE,03/18/25,Turkey Franks,Meat,2.49,1,-1.00,1.49
SHOPRITE,03/18/25,Turkey Franks,Meat,2.49,1,-1.00,1.49
