store_name,date,item_name,department,price,on_sale,sale_amount,final_price
SHOPRITE,03/27/25,Cat Litter,Household,7.49,1,-0.70,6.79
SHOPRITE,03/27/25,Flour Tortilla,Bread,1.99,0,0.00,1.99
SHOPRITE,03/27/25,Flour Tortilla,Bread,1.99,0,0.00,1.99
SHOPRITE,03/27/25,Ketchup,Condiments,2.59,0,0.00,2.59
SHOPRITE,03/27/25,Caesar Salad Dressing,Condiments,2.49,1,-0.99,1.50
SHOPRITE,03/27/25,Mayonnaise,Condiments,3.79,0,0.00,3.79
SHOPRITE,03/27/25,Toilet Paper,Household,17.99,1,-6.00,11.99
SHOPRITE,03/27/25,Sunkist Soda,Beverage,3.39,1,-0.78,2.61
SHOPRITE,03/27/25,Cream Soda,Beverage,3.39,0,0.00,3.39
SHOPRITE,03/27/25,Hamburger Buns,Bread,3.49,1,-1.25,2.24
SHOPRITE,03/27/25,Hamburger Buns,Bread,3.49,1,-1.25,2.24
SHOPRITE,03/27/25,Potato Bread,Bread,2.99,1,-1.30,1.69
SHOPRITE,03/27/25,Spicy Chicken Patties,Meat,3.99,0,0.00,3.99
SHOPRITE,03/27/25,Regular Chicken Patties,Meat,3.99,0,0.00,3.99
SHOPRITE,03/27/25,Mexican Blend Cheese,Dairy,1.99,1,-0.72,1.27
SHOPRITE,03/27/25,Fatboy Ice Cream Bars,Snacks,6.29,1,-3.49,2.80
SHOPRITE,03/27/25,Fatboy Ice Cream Bars,Snacks,6.29,1,-3.49,2.80
