store_name,date,item_name,department,price,on_sale,sale_amount,final_price
SHOPRITE,03/16/25,Canada Dry Soda,Beverages,1.99,0,0.00,1.99
SHOPRITE,03/16/25,Cat Treats,Household,6.79,0,0.00,6.79
SHOPRITE,03/16/25,Oatmeal Cookies,Snacks,3.00,1,-1.19,1.81
SHOPRITE,03/16/25,Oatmeal Cookies,Snacks,3.00,1,-1.19,1.81
SHOPRITE,03/16/25,Butterfinger,Snacks,1.19,0,0.00,1.19
SHOPRITE,03/16/25,Doritos,Snacks,3.99,1,-3.41,0.58
SHOPRITE,03/16/25,Italian Bread,Bread,2.99,1,-2.30,0.69
SHOPRITE,03/16/25,Hamburger Buns,Bread,2.79,0,0.00,2.79
SHOPRITE,03/16/25,Hamburger Buns,Bread,2.79,0,0.00,2.79
SHOPRITE,03/16/25,Ground Turkey,Meat,9.99,0,0.00,9.99
SHOPRITE,03/16/25,Chicken Wing Sections,Meat,11.99,0,0.00,11.99
SHOPRITE,03/16/25,Cabbage,Produce,1.31,1,-0.57,0.74
SHOPRITE,03/16/25,Cream Cheese,Dairy,1.89,1,-1.00,0.89
SHOPRITE,03/16/25,Bacon,Meat,4.19,1,-2.50,1.69
SHOPRITE,03/16/25,Fruit Punch,Beverages,2.99,1,-1.00,1.99
SHOPRITE,03/16/25,Half Gallon Milk,Dairy,2.31,0,0.00,2.31
SHOPRITE,03/16/25,Pizza,Frozen,5.49,1,-0.50,4.99
SHOPRITE,03/16/25,Pizza,Frozen,5.49,1,-0.50,4.99
SHOPRITE,03/16/25,Pizza Bagel,Frozen,1.69,1,-1.30,0.39
SHOPRITE,03/16/25,Pizza Bagel,Frozen,1.69,1,-1.30,0.39
SHOPRITE,03/16/25,French Fries,Frozen,4.29,1,-0.70,3.59
SHOPRITE,03/16/25,Eggnog Ice Cream,Snacks,4.68,1,-2.00,2.68
